name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Jimmy Butler","Chicago Bulls",2016-10-27,2016,6430,1610612741,400899422,2,3,22,0,"Alley Oop Layup shot","2PT Field Goal",1,"Boston Celtics",13,4,0,0.00,,0.00,0.00
"KarlAnthony Towns","Minnesota Timberwolves",2016-10-29,2016,3136195,1610612750,400899484,1,5,29,0,"Alley Oop Layup shot","2PT Field Goal",3,"Sacramento Kings",30,16,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2016-10-30,2016,3202,1610612744,400899486,4,1,19,1,"Alley Oop Layup shot","2PT Field Goal",0,"Phoenix Suns",-1,3,0,0.00,,0.00,0.00
"DeAndre Jordan","LA Clippers",2016-10-31,2016,3442,1610612746,400899495,4,4,04,1,"Alley Oop Layup shot","2PT Field Goal",1,"Phoenix Suns",-12,2,0,0.00,,0.00,0.00
"Julius Randle","Los Angeles Lakers",2016-10-26,2016,3064514,1610612747,400899415,3,9,19,1,"Cutting Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-30,2016,2991235,1610612760,400899490,1,10,33,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Dante Cunningham","New Orleans Pelicans",2016-10-28,2016,3974,1610612740,400899459,2,2,46,1,"Cutting Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,8,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-10-28,2016,6474,1610612739,400899429,1,4,15,1,"Cutting Dunk Shot","2PT Field Goal",0,"Toronto Raptors",0,1,0,0.00,,0.00,0.00
"Bojan Bogdanovic","Brooklyn Nets",2016-10-31,2016,3593,1610612751,400899493,2,8,06,1,"Cutting Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"KJ McDaniels","Houston Rockets",2016-10-28,2016,2566741,1610612745,400899457,4,5,40,1,"Cutting Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"DeMarcus Cousins","Sacramento Kings",2016-10-31,2016,4258,1610612758,400899494,4,1,44,1,"Cutting Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Rudy Gobert","Utah Jazz",2016-10-30,2016,3032976,1610612762,400899485,3,8,48,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Rodney Hood","Utah Jazz",2016-10-25,2016,2581177,1610612762,400899376,3,1,37,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Rudy Gobert","Utah Jazz",2016-10-25,2016,3032976,1610612762,400899376,3,7,58,1,"Cutting Dunk Shot","2PT Field Goal",0,"Portland Trail Blazers",0,1,0,0.00,,0.00,0.00
"Trevor Booker","Brooklyn Nets",2016-10-28,2016,4270,1610612751,400899452,2,0,08,1,"Cutting Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Myles Turner","Indiana Pacers",2016-10-26,2016,3133628,1610612754,400899379,5,0,34,1,"Cutting Dunk Shot","2PT Field Goal",4,"Dallas Mavericks",9,41,0,0.00,,0.00,0.00
"Dante Exum","Utah Jazz",2016-10-28,2016,3102528,1610612762,400899458,1,4,08,1,"Cutting Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Alex Len","Phoenix Suns",2016-10-28,2016,2596107,1610612756,400899455,3,3,42,1,"Cutting Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Marvin Williams","Charlotte Hornets",2016-10-28,2016,2797,1610612766,400899456,3,0,52,1,"Cutting Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Damian Lillard","Portland Trail Blazers",2016-10-29,2016,6606,1610612757,400899483,2,4,10,1,"Cutting Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
